"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,1,"AFG","Afghanistan",1,"Badakhshan","Velayat","Province",NA,"Badahšan"
2,1,"AFG","Afghanistan",2,"Badghis","Velayat","Province",NA,"Badghes|Badghisat|Badgis"
3,1,"AFG","Afghanistan",3,"Baghlan","Velayat","Province",NA,"Baglan|Bughlan"
4,1,"AFG","Afghanistan",4,"Balkh","Velayat","Province",NA,"Balh|Mazar-i-Sharif|Mazar"
5,1,"AFG","Afghanistan",5,"Bamyan","Velayat","Province",NA,NA
6,1,"AFG","Afghanistan",6,"Daykundi","Velayat","Province",NA,"<Null>"
7,1,"AFG","Afghanistan",7,"Farah","Velayat","Province",NA,NA
8,1,"AFG","Afghanistan",8,"Faryab","Velayat","Province",NA,"Fariab|Maimana|Meymaneh"
9,1,"AFG","Afghanistan",9,"Ghazni","Velayat","Province",NA,"Gazni"
10,1,"AFG","Afghanistan",10,"Ghor","Velayat","Province",NA,"Gawr|Ghore|Ghour|Ghur"
11,1,"AFG","Afghanistan",11,"Hilmand","Velayat","Province",NA,"Girishk|Hilmend"
12,1,"AFG","Afghanistan",12,"Hirat","Velayat","Province",NA,NA
13,1,"AFG","Afghanistan",13,"Jawzjan","Velayat","Province",NA,"Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan"
14,1,"AFG","Afghanistan",14,"Kabul","Velayat","Province",NA,"Cabul|Kabol|Kaboul"
15,1,"AFG","Afghanistan",15,"Kandahar","Velayat","Province",NA,"Qandahar"
16,1,"AFG","Afghanistan",16,"Kapisa","Velayat","Province",NA,"Kapesa"
17,1,"AFG","Afghanistan",17,"Khost","Velayat","Province",NA,NA
18,1,"AFG","Afghanistan",18,"Kunar","Velayat","Province",NA,"Konarha|Kunarha"
19,1,"AFG","Afghanistan",19,"Kunduz","Velayat","Province",NA,"Kondoz|Qonduz|Qunduz"
20,1,"AFG","Afghanistan",20,"Laghman","Velayat","Province",NA,"Lagman"
21,1,"AFG","Afghanistan",21,"Logar","Velayat","Province",NA,"Lawghar|Loghar"
22,1,"AFG","Afghanistan",22,"Nangarhar","Velayat","Province",NA,"Ningrahar|Eastern Province"
23,1,"AFG","Afghanistan",23,"Nimroz","Velayat","Province",NA,"Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur"
24,1,"AFG","Afghanistan",24,"Nuristan","Velayat","Province",NA,"Nooristan|Nuristão"
25,1,"AFG","Afghanistan",25,"Paktika","Velayat","Province",NA,"Paktiya|Paktya|Southern Province"
26,1,"AFG","Afghanistan",26,"Paktya","Velayat","Province",NA,"Paktiya|Southern Province"
27,1,"AFG","Afghanistan",27,"Panjshir","Velayat","Province",NA,"<Null>"
28,1,"AFG","Afghanistan",28,"Parwan","Velayat","Province",NA,"Charikar"
29,1,"AFG","Afghanistan",29,"Samangan","Velayat","Province",NA,NA
30,1,"AFG","Afghanistan",30,"Sari Pul","Velayat","Province",NA,"Sar-e Pul|Saripol"
31,1,"AFG","Afghanistan",31,"Takhar","Velayat","Province",NA,"Takar"
32,1,"AFG","Afghanistan",32,"Uruzgan","Velayat","Province",NA,"Urozgan"
33,1,"AFG","Afghanistan",33,"Wardak","Velayat","Province",NA,"Verdak|Wardag|Maiden"
34,1,"AFG","Afghanistan",34,"Zabul","Velayat","Province",NA,"Zubul|Zaboul"
