"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,1,"AFG","Afghanistan",1,"Badakhshan",1,"Baharak","Wuleswali","District",NA,NA
2,1,"AFG","Afghanistan",1,"Badakhshan",2,"Darwaz","Wuleswali","District",NA,NA
3,1,"AFG","Afghanistan",1,"Badakhshan",3,"Fayz abad","Wuleswali","District",NA,NA
4,1,"AFG","Afghanistan",1,"Badakhshan",4,"Ishkashim","Wuleswali","District",NA,NA
5,1,"AFG","Afghanistan",1,"Badakhshan",5,"Jurm","Wuleswali","District",NA,NA
6,1,"AFG","Afghanistan",1,"Badakhshan",6,"Khwahan","Wuleswali","District",NA,NA
7,1,"AFG","Afghanistan",1,"Badakhshan",7,"Kishim","Wuleswali","District",NA,NA
8,1,"AFG","Afghanistan",1,"Badakhshan",8,"Kuran Wa Munjan","Wuleswali","District",NA,NA
9,1,"AFG","Afghanistan",1,"Badakhshan",9,"Ragh","Wuleswali","District",NA,NA
10,1,"AFG","Afghanistan",1,"Badakhshan",10,"Shahri Buzurg","Wuleswali","District",NA,NA
11,1,"AFG","Afghanistan",1,"Badakhshan",11,"Shighnan","Wuleswali","District",NA,NA
12,1,"AFG","Afghanistan",1,"Badakhshan",12,"Wakhan","Wuleswali","District",NA,NA
13,1,"AFG","Afghanistan",1,"Badakhshan",13,"Zebak","Wuleswali","District",NA,NA
14,1,"AFG","Afghanistan",2,"Badghis",14,"Ab Kamari","Wuleswali","District",NA,NA
15,1,"AFG","Afghanistan",2,"Badghis",15,"Ghormach","Wuleswali","District",NA,NA
16,1,"AFG","Afghanistan",2,"Badghis",16,"Jawand","Wuleswali","District",NA,NA
17,1,"AFG","Afghanistan",2,"Badghis",17,"Muqur","Wuleswali","District",NA,NA
18,1,"AFG","Afghanistan",2,"Badghis",18,"Murghab","Wuleswali","District",NA,NA
19,1,"AFG","Afghanistan",2,"Badghis",19,"Qadis","Wuleswali","District",NA,NA
